"Metabolite.name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"Vitamin B3",0.0101850986355258,0.000769111641400788,0.0269925465264113,0.0611105918131546,0.00461466984840473,0.161955279158468,0.0000638433241982862,0.0000119945907137119,0.000174526194334467
"Valine",1.54079436271894,1.11354008496962,3.27888990617594,7.70397181359468,5.56770042484811,16.3944495308797,0.0075291785732182,0.00162293773017455,0.0242480887117306
"Uridine",0.00486592529369319,0.000145959751448805,1.49661175222281,0.0437933276432387,0.00131363776303925,13.4695057700053,0.0000384367114497216,0.0000013532865050203,0.0108432044524286
"Uracil",0.0386178972435584,0.0184885037337907,0.111202746175185,0.154471588974234,0.0739540149351629,0.44481098470074,0.000144984279657641,0.0000264389522762478,0.000691529629005733
"UDP-glucosamine",0.001681540842239,0.00048171520980732,0.0133277700378694,0.028586194318063,0.00818915856672444,0.226572090643779,0.0000258721975561942,0.00000639767307144615,0.000230795597138642
"Tyrosine",0.0257054809423322,0.00560805464247512,0.0856587148983165,0.23134932848099,0.0504724917822761,0.770928434084849,0.000237870164291845,0.0000684228765302775,0.000710623434378188
"Turicine",0.00874678626585326,0.00134139158198609,0.026050929039489,0.0612275038609728,0.00938974107390261,0.182356503276423,0.0000602845063263817,0.0000114114098425688,0.000146800400996113
"Trimethylammonium Propionate (TMAP)",4.1403999121716,1.78682585490373,13.5943737106041,24.8423994730296,10.7209551294224,81.5662422636248,0.0273869422321964,0.00502865387319695,0.0624030308953817
"Trimethylamine N-oxide",1.05333852310723,0.18009704207184,13.4216609711085,3.16001556932168,0.540291126215521,40.2649829133255,0.00347159566345091,0.000517107933668314,0.041015558221903
"Trimethyl-L-lysine",1.48419649659371,0.255061927543656,9.67926794971865,13.3577684693434,2.29555734789291,87.1134115474678,0.0121158539099445,0.0032048613257092,0.0823835194240972
"Trigonelline",0.0175693106753585,0.00435165534985556,0.0953404886189245,0.12298517472751,0.0304615874489889,0.667383420332472,0.00013117631951508,0.0000328925939140439,0.000679824044428446
"trans Hydroxyl proline",0.00108579405888979,0.0000640123538334951,0.00458505788833777,0.00542897029444894,0.000320061769167475,0.0229252894416889,0.00000502953936633434,0.000000609821326117762,0.0000188791714648028
"Thymine",0.022799729670711,0.0032606997026999,0.0685066384265486,0.113998648353555,0.0163034985134995,0.342533192132743,0.000112227346809285,0.0000251829123200958,0.000287650188765447
"Thymidine",0.000886229878351082,0.00021908105524144,0.018212120071933,0.00886229878351082,0.0021908105524144,0.18212120071933,0.00000733410922057603,0.00000181199154727363,0.00015294050027363
"Threonine",0.00624810572338513,0.00108193541344136,0.0425841922992456,0.0249924228935405,0.00432774165376545,0.170336769196982,0.0000272346905882832,0.00000494242676943768,0.000168092806060111
"Taurine",0.2336922447438,0.0273624566607603,11.1157511622052,0.467384489487599,0.0547249133215205,22.2315023244103,0.000426491080912365,0.000102926812420085,0.017008422699149
