"SampID","totalCmeasured_nM_perID","totalNmeasured_nM_perID"
"Day1and2Poo",3757.93509465767,1525.06764800998
"MesoScopeQC",1580.4028298698,566.303597130091
"MS10C215m",1146.28652332646,408.652184591184
"MS10C2175m",406.645358192082,177.249687551871
"MS10C2DCM",1190.79773110126,559.165906193671
"MS11C215m",1307.08783040314,500.317175954501
"MS11C2175m",330.837875386766,125.955851541624
"MS11C2DCM",981.700229349149,398.645115108587
"MS12C115m",1134.1976347429,373.104271336219
"MS12C1175m",318.316988776822,129.527044752423
"MS12C1DCM",1395.19802489975,600.037054678659
"MS13C2175m",422.329176603033,178.997159448824
"MS13C2DCM",1067.5028639725,474.516263755605
"MS13C315m",882.660406589591,287.50922475279
"MS14C215m",1351.07792301145,452.997457545252
"MS14C2175m",489.523192994701,217.244871662413
"MS14C2DCM",1259.78898367863,526.257720488751
"MS4C115m",1044.83240545692,397.352882419062
"MS4C1175m",361.442281407024,153.034924997921
"MS4C1DCM",929.596201187823,443.348309672885
"MS5C115m",1057.41308645752,337.961755863302
"MS5C1175m",653.737119091137,348.901291654075
"MS5C1DCM",1013.34954891567,419.405988505096
"MS6C315m",1242.20711959262,397.845418092343
"MS6C3175m",590.875314178043,291.193275309152
"MS6C3DCM",934.866285772789,409.713349006414
"MS7C115m",1205.38794874193,416.933230749196
"MS7C1175m",503.976580406387,216.804731255345
"MS7C1DCM",1078.87810454099,508.076319900552
"MS8C115m",1039.55634452721,363.939109301679
"MS8C1175m",594.865484034077,294.222102626421
"MS8C1DCM",1092.92031700274,523.683943660739
"MS9C215m",1070.08172311177,350.414481039902
"MS9C2175m",407.122543430029,161.054409518511
"MS9C2DCM",1299.63965758375,525.505829643714
